DiaChi,NgayCap,TenHinhThuc
Quận 1,2014-07-04 00:00:00,PKCK Nội tiết
Quận 8,2014-03-24 00:00:00,PKCK Nhi
TP. Thủ Đức,2014-07-14 00:00:00,PKCK Nhi
Quận 5,2014-02-12 00:00:00,PKCK Nhi
Quận 5,2013-12-11 00:00:00,PKCK Nhi
Quận 8,2014-07-18 00:00:00,PK đa khoa
Quận 8,2015-09-07 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-10-24 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2014-02-20 00:00:00,PKCK Nhi
Bình Thạnh,2014-04-17 00:00:00,PKCK Nhi
Tân Phú,2014-05-30 00:00:00,PKCK Nhi
Củ Chi,2013-09-24 00:00:00,PKCK Nhi
Quận 5,2015-10-23 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2015-05-04 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-08-14 00:00:00,PK Nội tổng hợp
Tân Phú,2014-02-12 00:00:00,PKCK Nhi
Quận 8,2014-04-17 00:00:00,PKCK Nhi
Gò Vấp,2014-06-04 00:00:00,PKCK Nhi
Quận 10,2014-04-21 00:00:00,PKCK Nhi
Hóc Môn,2014-10-22 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2015-05-22 00:00:00,PK Nội tổng hợp
Hóc Môn,2014-10-29 00:00:00,PK Nội tổng hợp
Phú Nhuận,2014-10-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2014-05-06 00:00:00,PKCK Nhi
Quận 1,2013-09-30 00:00:00,PKCK Sản phụ khoa
Quận 8,2014-08-13 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2015-12-18 00:00:00,PKCK Sản phụ khoa
Quận 8,2014-05-30 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2014-05-30 00:00:00,PK Nội tổng hợp
Quận 3,2014-10-29 00:00:00,PK Nội tổng hợp
Quận 7,2014-05-15 00:00:00,PK đa khoa
Tân Phú,2014-10-30 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-10-29 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2017-01-19 00:00:00,PK Nội tổng hợp
Bình Thạnh,2015-04-01 00:00:00,PKCK Ngoại
Tân Bình,2014-04-22 00:00:00,PKCK Nhi
Quận 3,2014-02-11 00:00:00,PKCK Nhi
Tân Bình,2014-07-17 00:00:00,PKCK Nhi
Quận 3,2014-03-18 00:00:00,PKCK Nhi
Quận 3,2014-05-30 00:00:00,PK Chẩn đoán hình ảnh
Quận 3,2014-02-12 00:00:00,PKCK Nhi
Tân Bình,2014-04-22 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2016-09-22 00:00:00,PKCK Tai Mũi Họng
Cần Giờ,2015-11-11 00:00:00,PK Nội tổng hợp
Quận 6,2014-04-24 00:00:00,PKCK Nhi
Bình Tân,2014-07-14 00:00:00,PKCK Sản phụ khoa
Tân Phú,2014-04-17 00:00:00,PKCK Sản phụ khoa
Quận 5,2014-05-06 00:00:00,PKCK Nhi
Quận 12,2014-04-15 00:00:00,PKCK Sản phụ khoa
Quận 3,2014-04-17 00:00:00,PK Nội tổng hợp
Quận 7,2014-04-18 00:00:00,PKCK Nhi
Bình Tân,2015-04-01 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2014-04-22 00:00:00,PKCK Mắt
Quận 10,2014-03-19 00:00:00,PK Nội tổng hợp
Quận 5,2014-03-25 00:00:00,PK Nội tổng hợp
Quận 5,2014-06-17 00:00:00,PKCK Tai Mũi Họng
Bình Chánh,2014-09-24 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-04-17 00:00:00,PKCK Nhi
Bình Thạnh,2014-08-13 00:00:00,PKCK Ung bướu
Bình Thạnh,2014-04-17 00:00:00,PKCK Nhi
Quận 3,2017-04-25 00:00:00,PKCK Nội thần kinh
Tân Bình,2015-02-10 00:00:00,PKCK Nội thần kinh
Quận 1,2014-07-14 00:00:00,PKCK Phẫu thuật thẩm mỹ
Củ Chi,2015-08-20 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-07-14 00:00:00,PK Nội tổng hợp
Quận 8,2015-01-06 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
Bình Tân,2014-06-04 00:00:00,PKCK Nhi
Quận 11,2014-06-04 00:00:00,Phòng xét nghiệm
Quận 11,2015-02-10 00:00:00,PKCK Nội Tim mạch
Gò Vấp,2014-04-22 00:00:00,PKCK Nhi
Nhà Bè,2014-07-28 00:00:00,PK đa khoa
TP. Thủ Đức,2015-07-13 00:00:00,PKCK Nhi
Bình Thạnh,2014-02-25 00:00:00,PKCK Ngoại
Gò Vấp,2015-09-25 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-04-17 00:00:00,PKCK Nhi
Quận 4,2014-03-24 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-07-14 00:00:00,PK Nội tổng hợp
Tân Phú,2015-08-11 00:00:00,PKCK Tai Mũi Họng
Quận 1,2015-10-15 00:00:00,"Cơ sở dịch vụ cấp cứu, hỗ trợ vận chuyển người bệnh"
Quận 4,2014-05-06 00:00:00,PKCK Ngoại niệu
Bình Thạnh,2015-09-09 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-04-21 00:00:00,PKCK Lao và bệnh phổi
Quận 10,2014-10-27 00:00:00,PK Nội tổng hợp
Gò Vấp,2015-12-18 00:00:00,Trạm y tế phường xã 
Quận 12,2015-03-04 00:00:00,PK Nội tổng hợp
Quận 7,2014-04-18 00:00:00,PK Nội tổng hợp
Quận 5,2015-10-23 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2014-03-24 00:00:00,PK Nội tổng hợp
Quận 5,2014-08-13 00:00:00,PKCK Sản phụ khoa
Tân Bình,2014-12-10 00:00:00,PKCK Tai Mũi Họng
Gò Vấp,2014-06-09 00:00:00,PK Nội tổng hợp
Quận 11,2014-04-25 00:00:00,PKCK Nhi
Quận 8,2015-06-29 00:00:00,PKCK Ngoại
Quận 5,2015-12-18 00:00:00,Trạm y tế phường xã 
Quận 4,2015-09-07 00:00:00,PKCK Tai Mũi Họng
Tân Bình,2015-10-09 00:00:00,PK Chẩn đoán hình ảnh
Quận 5,2015-12-18 00:00:00,Trạm y tế phường xã 
Quận 4,2014-06-04 00:00:00,PK Nội tổng hợp
Quận 5,2014-08-13 00:00:00,PKCK Nội Tim mạch
Quận 5,2014-01-13 00:00:00,Bệnh viện đa khoa
Bình Thạnh,2016-09-27 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2015-04-17 00:00:00,PKCK Tai Mũi Họng
Quận 5,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2015-06-29 00:00:00,PKCK Ngoại
Bình Tân,2015-12-08 00:00:00,PKCK Mắt
Quận 6,2015-09-23 00:00:00,PK đa khoa
Quận 10,2015-05-04 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2017-07-13 00:00:00,PKCK Phục hồi chức năng
TP. Thủ Đức,2014-07-04 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-09-22 00:00:00,PKCK Sản phụ khoa
Quận 8,2014-04-17 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-11-10 00:00:00,PKCK Ngoại
Quận 11,2014-04-22 00:00:00,PKCK Sản phụ khoa
Quận 11,2014-05-06 00:00:00,PK Nội tổng hợp
Quận 10,2014-05-06 00:00:00,PKCK Nội thần kinh
Tân Phú,2014-10-29 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2014-05-30 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
Quận 8,2014-05-08 00:00:00,PK Nội tổng hợp
Quận 12,2015-01-06 00:00:00,PK Nội tổng hợp
Quận 3,2014-04-18 00:00:00,PK Nội tổng hợp
Tân Bình,2014-06-09 00:00:00,PKCK Ngoại niệu
Bình Thạnh,2014-10-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 1,2014-10-31 00:00:00,PKCK Phục hồi chức năng
Củ Chi,2014-05-30 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
Quận 4,2014-05-08 00:00:00,PK Nội tổng hợp
Quận 10,2014-05-06 00:00:00,PKCK Lao và bệnh phổi
Quận 1,2014-10-28 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-04-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2013-12-23 00:00:00,PK đa khoa
Bình Tân,2014-02-11 00:00:00,PKCK Nhi
Quận 5,2015-04-15 00:00:00,Bệnh viện chuyên khoa
Quận 4,2014-06-04 00:00:00,PK Nội tổng hợp
Quận 4,2014-05-30 00:00:00,PK Nội tổng hợp
Quận 5,2014-11-18 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-09-23 00:00:00,PK Nội tổng hợp
Bình Thạnh,2015-05-11 00:00:00,PKCK Nội Tim mạch
Quận 10,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-11-26 00:00:00,PKCK Nhi
Củ Chi,2014-04-21 00:00:00,PK Nội tổng hợp
Quận 11,2014-05-08 00:00:00,PK Nội tổng hợp
Quận 5,2015-05-29 00:00:00,PKCK Lao và bệnh phổi
Quận 5,2014-11-10 00:00:00,Phòng xét nghiệm
Quận 10,2014-04-21 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-07-17 00:00:00,PKCK Ngoại niệu
Quận 3,2016-07-05 00:00:00,PKCK Tai Mũi Họng
Quận 6,2014-04-21 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-04-24 00:00:00,PKCK Răng Hàm Mặt
Quận 12,2014-10-29 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2013-12-13 00:00:00,PKCK Nhi
Gò Vấp,2014-05-06 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2013-11-13 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2014-12-10 00:00:00,Phòng chẩn trị y học cổ truyền
Củ Chi,2014-07-25 00:00:00,PKCK Ngoại
Bình Chánh,2015-04-17 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2017-01-19 00:00:00,PK Nội tổng hợp
Phú Nhuận,2014-12-10 00:00:00,PKCK Da liễu
Bình Thạnh,2013-12-06 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-12-16 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2015-01-14 00:00:00,PKCK Nội Tim mạch
Bình Tân,2014-02-11 00:00:00,PK Nội tổng hợp
Quận 3,2015-07-31 00:00:00,PKCK Sản phụ khoa
Củ Chi,2014-05-30 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-02-12 00:00:00,PK Nội tổng hợp
Hóc Môn,2017-06-02 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2014-07-04 00:00:00,PKCK Nhi
Bình Thạnh,2015-01-15 00:00:00,PK đa khoa
Gò Vấp,2014-06-19 00:00:00,PK đa khoa
Quận 11,2014-04-22 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2015-01-06 00:00:00,PK Nội tổng hợp
Quận 10,2013-12-17 00:00:00,PKCK Nhi
Quận 5,2015-01-06 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-07-13 00:00:00,PK Nội tổng hợp
Bình Tân,2014-10-31 00:00:00,PKCK Nhi
Quận 5,2014-10-23 00:00:00,PKCK Ngoại lồng ngực
Quận 10,2015-08-20 00:00:00,PKCK Lao và bệnh phổi
Phú Nhuận,2014-12-19 00:00:00,PKCK Lao và bệnh phổi
Quận 5,2014-02-12 00:00:00,PKCK Lao và bệnh phổi
Quận 11,2014-05-06 00:00:00,Phòng xét nghiệm
TP. Thủ Đức,2014-05-12 00:00:00,Phòng chẩn trị y học cổ truyền
Phú Nhuận,2014-10-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2014-10-31 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2014-11-10 00:00:00,PKCK Nội thần kinh
Quận 10,2015-04-10 00:00:00,Bệnh viện đa khoa
Quận 11,2015-06-10 00:00:00,PKCK Tai Mũi Họng
Bình Thạnh,2014-11-18 00:00:00,PK Nội tổng hợp
Tân Phú,2015-06-10 00:00:00,PKCK Sản phụ khoa
Bình Chánh,2015-04-01 00:00:00,PKCK Sản phụ khoa
Quận 10,2017-08-18 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 11,2014-05-30 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2015-05-08 00:00:00,PKCK Da liễu
Quận 5,2015-06-29 00:00:00,PKCK Nội tiết
Tân Bình,2015-03-04 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-02-20 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 6,2016-11-03 00:00:00,PKCK Nhi
TP. Thủ Đức,2014-07-25 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2015-04-17 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-01-14 00:00:00,PK Nội tổng hợp
Quận 6,2015-12-28 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-08-13 00:00:00,PK Nội tổng hợp
Quận 7,2015-03-04 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 3,2014-05-19 00:00:00,Bệnh viện chuyên khoa
TP. Thủ Đức,2014-01-13 00:00:00,Bệnh viện đa khoa
TP. Thủ Đức,2015-05-04 00:00:00,PKCK Tai Mũi Họng
Bình Thạnh,2014-03-19 00:00:00,PKCK Da liễu
TP. Thủ Đức,2014-04-21 00:00:00,PKCK Da liễu
Quận 8,2015-12-16 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2014-12-08 00:00:00,PK Nội tổng hợp
Cần Giờ,2017-01-19 00:00:00,PK Chẩn đoán hình ảnh
Tân Phú,2015-12-25 00:00:00,PKCK Nhi
TP. Thủ Đức,2014-10-29 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2015-09-23 00:00:00,PK Nội tổng hợp
Cần Giờ,2015-12-21 00:00:00,Trạm y tế phường xã 
Quận 6,2015-12-24 00:00:00,Trạm y tế phường xã 
Bình Tân,2015-04-15 00:00:00,PK Nội tổng hợp
Bình Tân,2014-10-22 00:00:00,PK đa khoa
Hóc Môn,2014-11-10 00:00:00,PKCK Sản phụ khoa
Quận 1,2014-01-09 00:00:00,Bệnh viện chuyên khoa
Gò Vấp,2015-09-25 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2014-05-06 00:00:00,PKCK Tâm thần
Quận 7,2015-04-15 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2015-02-13 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-07-14 00:00:00,PK Nội tổng hợp
Gò Vấp,2015-04-17 00:00:00,PKCK Nhi
Quận 3,2015-12-28 00:00:00,Trạm y tế phường xã 
Hóc Môn,2014-08-13 00:00:00,PK Nội tổng hợp
Quận 8,2015-06-29 00:00:00,PKCK Ung bướu
Quận 10,2014-06-17 00:00:00,PKCK Ung bướu
Bình Thạnh,2014-10-24 00:00:00,PKCK Ung bướu
Quận 5,2014-08-13 00:00:00,Phòng xét nghiệm
Củ Chi,2015-01-06 00:00:00,PK Nội tổng hợp
Củ Chi,2014-10-08 00:00:00,Phòng chẩn trị y học cổ truyền
Củ Chi,2014-07-25 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-11-18 00:00:00,PK Nội tổng hợp
Nhà Bè,2014-10-31 00:00:00,PK Nội tổng hợp
Quận 12,2014-03-24 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2017-06-13 00:00:00,PKCK Nhi
Hóc Môn,2015-04-15 00:00:00,PKCK Ngoại nhi
Quận 12,2014-10-31 00:00:00,PK Nội tổng hợp
Quận 4,2015-09-28 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2015-04-15 00:00:00,Bệnh viện chuyên khoa
Nhà Bè,2014-07-25 00:00:00,PKCK Nhi
Bình Thạnh,2014-04-21 00:00:00,PKCK Da liễu
Quận 11,2015-07-09 00:00:00,Phòng xét nghiệm
Quận 4,2014-06-03 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-02-10 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2014-09-23 00:00:00,PK Nội tổng hợp
Quận 11,2014-05-06 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-06-04 00:00:00,PK Nội tổng hợp
Gò Vấp,2015-12-18 00:00:00,Trạm y tế phường xã 
Bình Thạnh,2014-04-21 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2017-06-02 00:00:00,PKCK Nhi
TP. Thủ Đức,2014-07-17 00:00:00,PKCK Ngoại
Quận 8,2016-07-18 00:00:00,PKCK Sản phụ khoa
Quận 8,2014-06-09 00:00:00,PKCK Ngoại
Quận 5,2014-05-06 00:00:00,PK Chẩn đoán hình ảnh
TP. Thủ Đức,2014-07-25 00:00:00,PKCK Nội thần kinh
Quận 3,2016-12-01 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 10,2015-02-13 00:00:00,PKCK Tai Mũi Họng
Hóc Môn,2014-07-04 00:00:00,PKCK Chấn thương chỉnh hình 
Củ Chi,2014-07-25 00:00:00,PK Nội tổng hợp
Quận 12,2017-06-27 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-05-06 00:00:00,PKCK Tai Mũi Họng
Quận 10,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2017-07-05 00:00:00,PKCK Da liễu
Tân Bình,2014-10-27 00:00:00,PKCK Nhi
Tân Bình,2014-04-22 00:00:00,PKCK Nhi
Quận 7,2014-04-24 00:00:00,PKCK Nhi
Bình Chánh,2015-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2016-09-19 00:00:00,PK Nội tổng hợp
Tân Bình,2014-07-17 00:00:00,PKCK Nhi
Quận 6,2014-07-14 00:00:00,PK Nội tổng hợp
Quận 3,2014-10-24 00:00:00,PK Chẩn đoán hình ảnh
Bình Tân,2014-05-30 00:00:00,PKCK Mắt
Quận 5,2014-03-25 00:00:00,PK Nội tổng hợp
Bình Thạnh,2015-09-07 00:00:00,PK Nội tổng hợp
Cần Giờ,2015-12-21 00:00:00,Trạm y tế phường xã 
Gò Vấp,2015-06-10 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2015-12-24 00:00:00,Trạm y tế phường xã 
Quận 7,2014-10-22 00:00:00,PKCK Ngoại
Quận 1,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-08-13 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-05-15 00:00:00,PKCK Tâm thần
Củ Chi,2017-07-13 00:00:00,PKCK Sản phụ khoa
Quận 10,2015-12-24 00:00:00,Trạm y tế phường xã 
Hóc Môn,2014-12-18 00:00:00,PKCK Nhi
Củ Chi,2014-06-17 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2015-12-18 00:00:00,Trạm y tế phường xã 
Củ Chi,2015-08-20 00:00:00,PK Nội tổng hợp
Củ Chi,2014-04-21 00:00:00,PK Nội tổng hợp
Quận 10,2014-08-13 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2014-07-25 00:00:00,PK Nội tổng hợp
Quận 10,2014-10-27 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-07-25 00:00:00,PKCK Nhi
Quận 3,2015-12-25 00:00:00,PKCK Nhiễm
Tân Bình,2014-10-24 00:00:00,PKCK Tai Mũi Họng
Quận 6,2014-05-30 00:00:00,PK Nội tổng hợp
Quận 11,2014-05-08 00:00:00,PKCK Nhi
Quận 5,2014-07-04 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-07-14 00:00:00,PK Nội tổng hợp
Quận 3,2014-10-29 00:00:00,PKCK Ngoại nhi
Củ Chi,2014-06-17 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-11-14 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 8,2015-04-21 00:00:00,PK Nội tổng hợp
Quận 6,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2015-12-24 00:00:00,Trạm y tế phường xã 
Quận 5,2014-07-04 00:00:00,PK Chẩn đoán hình ảnh
Quận 12,2014-06-13 00:00:00,PK Nội tổng hợp
Quận 11,2014-05-06 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2015-11-16 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-07-25 00:00:00,PKCK Nhi
TP. Thủ Đức,2015-03-04 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2015-10-27 00:00:00,PKCK Răng Hàm Mặt
Nhà Bè,2015-08-12 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-05-30 00:00:00,PK Nội tổng hợp
Quận 7,2014-06-13 00:00:00,PKCK Nhi
Quận 1,2014-04-23 00:00:00,PKCK Sản phụ khoa
Tân Bình,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 12,2014-07-04 00:00:00,PK Nội tổng hợp
Củ Chi,2017-06-22 00:00:00,PKCK Mắt
Củ Chi,2014-10-22 00:00:00,PKCK Sản phụ khoa
Quận 7,2014-10-31 00:00:00,Phòng chẩn trị y học cổ truyền
Củ Chi,2014-09-10 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2014-11-25 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Chánh,2017-09-21 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 12,2015-12-18 00:00:00,Trạm y tế phường xã 
Quận 4,2013-12-06 00:00:00,PKCK Tai Mũi Họng
Quận 8,2015-06-29 00:00:00,PK Nội tổng hợp
Quận 8,2013-08-14 00:00:00,PKCK Nhi
Bình Tân,2014-07-14 00:00:00,PK Nội tổng hợp
Quận 10,2013-12-17 00:00:00,PKCK Nhi
Quận 10,2015-08-20 00:00:00,PKCK Da liễu
TP. Thủ Đức,2014-09-10 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2013-08-14 00:00:00,PKCK Nội thần kinh
Quận 3,2014-02-11 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2015-06-04 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2013-02-26 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2015-12-16 00:00:00,PKCK Tai Mũi Họng
Quận 3,2013-07-24 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2014-11-06 00:00:00,PKCK Da liễu
Quận 1,2013-06-04 00:00:00,PK đa khoa
Quận 6,2013-08-14 00:00:00,PKCK Nhi
Quận 1,2013-02-26 00:00:00,PKCK Mắt
Tân Bình,2013-11-29 00:00:00,PKCK Tai Mũi Họng
Tân Bình,2014-05-30 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2013-08-08 00:00:00,PK Nội tổng hợp
Quận 6,2013-12-06 00:00:00,PKCK Tai Mũi Họng
Quận 10,2013-11-05 00:00:00,PKCK Sản phụ khoa
Quận 1,2016-09-19 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2013-01-25 00:00:00,PK đa khoa
Tân Phú,2017-10-04 00:00:00,PK đa khoa
Bình Tân,2015-10-02 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2017-08-31 00:00:00,PKCK Răng Hàm Mặt
Nhà Bè,2013-12-17 00:00:00,PK Nội tổng hợp
Quận 11,2013-04-26 00:00:00,PK đa khoa
Phú Nhuận,2013-04-10 00:00:00,PK đa khoa
Bình Chánh,2015-07-10 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2013-11-08 00:00:00,PKCK Sản phụ khoa
Quận 8,2013-10-09 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Tân,2016-10-04 00:00:00,PK Nội tổng hợp
Quận 10,2015-02-06 00:00:00,PKCK Nội Tim mạch
Quận 10,2013-11-08 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2013-10-23 00:00:00,PKCK Sản phụ khoa
Quận 6,2014-07-14 00:00:00,PKCK Da liễu
Phú Nhuận,2014-09-22 00:00:00,PKCK Phục hồi chức năng
Quận 1,2014-02-20 00:00:00,PK Nội tổng hợp
Bình Thạnh,2015-04-21 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-03-18 00:00:00,PKCK Mắt
Tân Bình,2013-10-08 00:00:00,PKCK Sản phụ khoa
Quận 4,2016-09-07 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2014-08-13 00:00:00,PK Nội tổng hợp
Quận 4,2014-02-20 00:00:00,PK Nội tổng hợp
Bình Thạnh,2013-10-15 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2014-10-30 00:00:00,PK Nội tổng hợp
Quận 7,2013-09-09 00:00:00,PKCK Nhi
Quận 1,2015-08-20 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2014-02-25 00:00:00,PKCK Tai Mũi Họng
Quận 1,2014-10-17 00:00:00,PKCK Da liễu
Gò Vấp,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2013-10-15 00:00:00,PKCK Sản phụ khoa
Củ Chi,2014-02-19 00:00:00,PK đa khoa
Bình Thạnh,2014-03-19 00:00:00,PKCK Nhi
Quận 3,2013-12-20 00:00:00,PKCK Tai Mũi Họng
Quận 12,2015-07-03 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2014-04-15 00:00:00,PK Nội tổng hợp
Bình Tân,2013-12-06 00:00:00,PKCK Nhi
Quận 7,2013-07-02 00:00:00,PK Nội tổng hợp
Gò Vấp,2013-04-08 00:00:00,PKCK Nhi
Quận 3,2016-12-22 00:00:00,PKCK Da liễu
Quận 4,2013-12-16 00:00:00,PKCK Tai Mũi Họng
Quận 10,2014-06-17 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2015-10-16 00:00:00,PKCK Răng Hàm Mặt
Nhà Bè,2014-04-17 00:00:00,PK Nội tổng hợp
Quận 7,2014-04-18 00:00:00,PK Nội tổng hợp
Gò Vấp,2015-09-25 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2015-01-14 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
Quận 12,2015-10-29 00:00:00,PKCK Nhi
Quận 7,2013-10-31 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2015-07-13 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 10,2013-12-17 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2017-06-30 00:00:00,PKCK Sản phụ khoa
Quận 3,2014-02-17 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 5,2014-05-08 00:00:00,PKCK Tâm thần
Quận 10,2013-07-02 00:00:00,PKCK Răng Hàm Mặt
Nhà Bè,2014-12-18 00:00:00,PK đa khoa
Quận 5,2013-11-07 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2013-11-08 00:00:00,PKCK Phẫu thuật thẩm mỹ
Bình Chánh,2014-04-17 00:00:00,PK Nội tổng hợp
Quận 10,2013-10-31 00:00:00,PK Nội tổng hợp
Bình Tân,2015-05-08 00:00:00,PKCK Mắt
Quận 7,2014-10-29 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2015-12-08 00:00:00,PKCK Sản phụ khoa
Phú Nhuận,2014-02-13 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-03-24 00:00:00,PKCK Sản phụ khoa
